student_id,age,gender,study_hours_per_week,attendance_pct,math_score,english_score,science_score,passed_exam,socioeconomic_index,school_type,tutoring
S0001,17,female,2.2,88.3,48.5,63.5,47.9,False,,urban,no
S0002,18,female,28.9,68.0,72.3,62.5,75.7,True,6.71,urban,yes
S0003,15,male,4.0,65.7,76.2,66.6,81.5,True,5.86,urban,no
S0004,17,male,17.8,69.7,60.6,59.3,58.5,True,,urban,yes
S0005,17,male,8.0,89.3,95.8,79.2,91.0,True,1.96,urban,no
S0006,18,female,55.0,96.8,60.2,49.9,57.6,True,7.85,urban,yes
S0007,15,female,5.6,80.4,58.3,57.1,63.5,True,5.87,urban,no
S0008,15,male,6.9,83.7,57.9,53.4,63.1,True,9.67,urban,no
S0009,17,male,5.4,65.6,52.8,45.3,60.5,False,4.08,urban,yes
S0010,16,male,1.7,88.2,56.6,61.6,62.1,True,,urban,no
S0011,17,male,10.3,83.3,43.5,47.8,36.9,False,9.39,urban,no
S0012,17,female,2.6,64.3,62.1,60.4,63.5,True,1.92,urban,no
S0013,17,female,1.0,48.2,65.9,61.9,60.3,True,9.44,urban,yes
S0014,17,female,8.3,56.7,30.8,41.6,30.8,False,,urban,no
S0015,18,male,1.6,65.0,63.5,70.4,64.3,True,1.61,urban,yes
S0016,15,male,22.6,92.4,65.6,60.5,69.5,True,,urban,no
S0017,18,female,24.6,98.3,72.7,55.9,67.4,True,,urban,no
S0018,18,female,19.7,68.4,83.1,67.4,69.8,True,1.61,urban,no
S0019,18,female,3.7,68.9,77.8,69.6,77.5,True,6.24,urban,no
S0020,17,female,1.0,78.9,55.7,58.7,69.5,True,4.11,urban,no
S0021,16,male,21.1,75.2,54.0,49.1,53.7,False,6.59,urban,no
S0022,15,female,4.5,89.0,73.7,69.9,73.0,True,1.41,urban,yes
S0023,16,male,27.2,67.2,56.8,46.9,66.2,True,8.84,urban,no
S0024,18,male,58.0,89.2,46.6,57.5,50.8,False,9.76,urban,yes
S0025,18,male,15.3,71.4,100.0,70.9,98.1,True,9.72,urban,no
S0026,16,male,2.8,87.8,60.3,56.9,62.7,True,7.75,urban,no
S0027,16,female,3.9,70.9,55.6,61.5,57.4,True,,urban,no
S0028,16,male,15.2,65.8,32.1,44.7,28.8,False,7.82,urban,yes
S0029,18,male,3.0,100.0,77.8,71.3,69.9,True,1.22,urban,yes
S0030,18,female,1.5,91.0,50.2,56.4,60.6,True,1.2,urban,yes
S0031,15,male,6.5,48.1,65.4,67.6,66.1,True,3.91,urban,no
S0032,15,male,22.0,68.3,79.5,73.5,78.6,True,5.4,urban,yes
S0033,18,female,9.5,93.1,50.4,50.7,50.9,False,7.93,urban,no
S0034,16,male,6.8,57.1,66.2,64.5,69.8,True,7.15,urban,no
S0035,16,male,1.0,86.6,87.9,63.7,98.6,True,5.01,urban,yes
S0036,15,male,7.6,85.0,28.1,41.7,33.5,False,3.46,urban,no
S0037,18,male,36.9,64.5,52.8,58.8,50.6,False,9.97,urban,no
S0038,15,female,1.2,74.9,51.4,54.4,51.6,False,4.84,urban,no
S0039,15,female,5.8,43.6,62.2,61.5,67.6,True,,urban,no
S0040,17,female,16.8,100.0,64.3,59.0,61.2,True,2.47,rural,no
S0041,17,female,10.8,70.4,49.1,58.6,54.4,False,8.15,urban,no
S0042,17,female,9.6,87.1,55.2,55.2,44.2,False,7.24,urban,no
S0043,16,male,9.7,84.2,53.4,52.2,53.0,False,,urban,no
S0044,18,female,3.6,95.4,59.7,62.6,63.1,True,1.74,urban,yes
S0045,18,female,2.8,68.5,68.3,54.6,74.2,True,7.12,urban,no
S0046,18,female,13.3,78.1,78.7,70.1,73.3,True,,urban,yes
S0047,18,female,13.3,83.4,80.8,62.8,71.8,True,,rural,no
S0048,17,male,16.1,88.1,74.8,72.3,72.5,True,9.56,urban,no
S0049,16,male,19.6,92.3,51.9,52.5,47.1,False,,rural,no
S0050,16,male,5.7,67.8,65.0,61.2,64.1,True,4.89,urban,no
S0051,17,male,5.6,65.0,100.0,80.2,97.0,True,9.49,urban,no
S0052,16,female,12.8,95.4,80.2,57.7,72.2,True,,urban,no
S0053,17,female,8.4,44.4,58.4,53.7,62.8,True,6.75,urban,yes
S0054,18,male,9.7,98.6,88.7,78.0,85.8,True,4.58,urban,yes
S0055,17,male,12.7,70.5,59.2,62.3,64.9,True,3.47,urban,no
S0056,18,male,17.7,74.9,55.0,57.0,46.4,False,9.86,urban,yes
S0057,18,male,3.3,64.8,85.9,63.7,78.9,True,4.68,urban,no
S0058,15,male,3.8,74.3,45.4,53.9,49.4,False,,urban,yes
S0059,17,male,1.0,94.1,36.3,50.0,34.4,False,3.07,urban,no
S0060,15,female,6.9,86.6,79.1,67.8,76.9,True,2.92,urban,no
S0061,17,male,1.0,82.4,65.4,67.3,65.2,True,1.28,urban,no
S0062,17,male,5.0,76.3,66.9,57.8,67.3,True,6.87,urban,yes
S0063,15,female,6.3,53.3,59.6,55.0,56.4,True,4.32,urban,no
S0064,15,male,2.7,62.3,61.4,45.3,62.2,True,8.78,urban,no
S0065,17,female,7.1,69.9,58.1,62.0,54.5,True,,urban,no
S0066,16,female,1.0,81.9,55.6,57.5,59.5,True,9.71,urban,no
